Entity,Entity_label,Edge,quality_label
https://40848ba0-6e7e-11ee-9002-aabb8a6a9740/id-d22366,hind wing:id-d22366,,atrophied:_42c653_48-5
https://40848ba0-6e7e-11ee-9002-aabb8a6a9740/id-eff197,metaventrite:id-eff197,,convex:_42c653_56-1
